palavras,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
COIBE,0.3419439,833,0.4794393,900,0.0393438,2107
BEICO,0.3419439,833,0.5325234,655,0.0456957,1623
FUCAI,0.3419065,834,0.5282243,672,0.0488735,1329
PENDA,0.3418318,835,0.5771963,442,0.0546029,937
PUTAS,0.3417944,836,0.6515888,178,0.05711,745
SITUO,0.341757,837,0.4603738,980,0.0376351,2223
SOUBE,0.341757,837,0.4005607,1251,0.0351489,2384
COSPE,0.3416449,838,0.4530841,1016,0.0369344,2272
PESCO,0.3416449,838,0.5325234,655,0.0441862,1760
TIMES,0.3414953,839,0.5682243,485,0.0432997,1829
UNIDA,0.3414579,840,0.388972,1295,0.0426342,1883
CUSPA,0.3413084,841,0.4943925,832,0.0465935,1546
SUICO,0.341271,842,0.4971963,818,0.0385806,2148
LEIGO,0.3412336,843,0.5192523,716,0.0456202,1628
VOLEI,0.3411963,844,0.5293458,667,0.0429875,1853
VIOLE,0.3411963,844,0.3250467,1501,0.0249857,2920
CISME,0.3410093,845,0.4201869,1164,0.0302795,2706
BALDE,0.3409346,846,0.4656075,959,0.0449808,1691
IGUAL,0.3408972,847,0.2973832,1566,0.0378149,2209
FRETO,0.3406729,848,0.4685981,945,0.0358693,2337
FORTE,0.3406729,848,0.5334579,650,0.0414451,1967
SOLDE,0.3405981,849,0.4635514,968,0.0368954,2274
LATEX,0.3404486,850,0.4459813,1049,0.048582,1364
OBTER,0.3403738,851,0.3024299,1556,0.0249254,2924
BROTE,0.3403738,851,0.3411215,1452,0.0240869,2949
FRUTA,0.3403364,852,0.4725234,929,0.0451495,1669
FURTA,0.3403364,852,0.5747664,454,0.0511042,1156
TRUFA,0.3403364,852,0.4007477,1250,0.0435273,1812
AJUDO,0.3402617,853,0.3942056,1274,0.0400989,2052
COFRE,0.3401869,854,0.4497196,1033,0.0367246,2290
FORCE,0.3401869,854,0.4986916,811,0.0400123,2060
UTEIS,0.3401495,855,0.362243,1382,0.0274869,2842
SITUE,0.3401495,855,0.3717757,1357,0.0284017,2799
